iter	Passed	Remaining
0	1	426
1	2	332
2	2	274
3	3	242
4	3	224
5	4	211
6	5	215
7	5	206
8	6	203
9	9	285
10	10	279
11	12	293
12	12	286
13	17	355
14	19	368
15	24	431
16	25	419
17	26	408
18	26	393
19	27	381
20	27	368
21	28	358
22	28	348
23	29	338
24	29	329
25	30	320
26	30	312
27	31	305
28	31	298
29	32	291
30	32	284
31	33	278
32	33	272
33	34	267
34	34	262
35	35	257
36	35	252
37	36	248
38	36	245
39	37	241
40	37	238
41	38	235
42	38	232
43	39	229
44	41	233
45	41	231
46	42	228
47	43	225
48	43	223
49	44	221
50	46	228
51	47	226
52	48	224
53	48	222
54	49	220
55	50	218
56	50	215
57	51	212
58	51	210
59	52	208
60	52	206
61	53	204
62	54	204
63	60	222
64	61	222
65	62	220
66	62	218
67	63	216
68	64	214
69	64	212
70	65	210
71	65	208
72	66	206
73	66	203
74	69	207
75	70	206
76	70	204
77	71	203
78	72	201
79	72	199
80	73	198
81	73	196
82	74	194
83	74	192
84	75	190
85	76	189
86	76	187
87	77	186
88	77	184
89	78	183
90	79	181
91	79	179
92	80	178
93	87	192
94	90	194
95	90	192
96	91	191
97	91	189
98	92	187
99	92	185
100	93	184
101	94	182
102	94	180
103	95	179
104	95	177
105	96	175
106	96	174
107	97	172
108	97	171
109	98	169
110	99	168
111	99	167
112	101	167
113	102	166
114	106	171
115	107	170
116	108	168
117	108	167
118	109	166
119	109	164
120	110	163
121	110	161
122	111	160
123	111	158
124	112	157
125	113	156
126	113	154
127	114	153
128	114	152
129	115	150
130	115	149
131	116	148
132	116	146
133	117	145
134	118	144
135	118	143
136	119	142
137	120	141
138	120	139
139	121	138
140	122	137
141	122	136
142	123	135
143	123	133
144	124	132
145	124	131
146	124	130
147	125	128
148	126	128
149	127	127
150	127	125
151	128	124
152	128	123
153	129	122
154	129	121
155	130	120
156	130	119
157	131	118
158	132	117
159	132	115
160	133	114
161	133	113
162	134	112
163	134	111
164	135	110
165	135	109
166	136	108
167	136	107
168	137	106
169	138	105
170	138	104
171	139	103
172	140	102
173	140	101
174	141	100
175	141	99
176	142	99
177	143	98
178	143	97
179	144	96
180	144	95
181	145	94
182	145	93
183	146	92
184	146	91
185	147	90
186	147	89
187	148	88
188	148	87
189	149	86
190	149	85
191	150	84
192	150	83
193	151	82
194	151	81
195	152	81
196	153	80
197	153	79
198	154	78
199	154	77
200	155	76
201	155	75
202	156	74
203	157	73
204	157	73
205	158	72
206	158	71
207	159	70
208	159	69
209	162	69
210	162	68
211	163	67
212	163	66
213	164	66
214	164	65
215	165	64
216	165	63
217	166	62
218	168	62
219	169	61
220	169	60
221	170	59
222	170	58
223	171	58
224	171	57
225	172	56
226	172	55
227	173	54
228	174	54
229	175	53
230	176	52
231	178	52
232	178	51
233	179	50
234	179	49
235	180	48
236	180	48
237	181	47
238	181	46
239	182	45
240	183	44
241	183	44
242	184	43
243	184	42
244	185	41
245	185	40
246	186	40
247	187	39
248	187	38
249	188	37
250	188	36
251	189	36
252	189	35
253	190	34
254	190	33
255	191	32
256	191	32
257	192	31
258	193	30
259	193	29
260	194	29
261	194	28
262	195	27
263	195	26
264	196	25
265	198	25
266	199	24
267	199	23
268	200	23
269	200	22
270	200	21
271	201	20
272	202	20
273	203	19
274	203	18
275	204	17
276	204	16
277	204	16
278	205	15
279	205	14
280	206	13
281	206	13
282	207	12
283	207	11
284	208	10
285	210	10
286	210	9
287	211	8
288	211	8
289	212	7
290	213	6
291	213	5
292	213	5
293	214	4
294	214	3
295	215	2
296	215	2
297	216	1
298	216	0
299	217	0
